model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,2,all,0.9,617,0.5662864291951679,0.6724982505248426,83,144,0.7812689382233315,0.7224248517560965,0.850549211793296,8228794.0,1445889.0,3161725.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.05,251,0.4530866476867834,0.49169435215946844,39,86,0.5783155254993556,0.6116044254339064,0.5484633206436983,892233.0,734554.0,566607.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.1,251,0.45159338839935664,0.4951856946354883,40,86,0.5714984698748061,0.5804700995311344,0.5627999465653979,846813.0,657830.0,612027.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.2,251,0.4483776447713027,0.49280994947532064,42,86,0.5595982807779054,0.5453476734940089,0.5746136439638031,795575.0,588964.0,663265.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.3,251,0.44567676797970635,0.49188466679396603,42,86,0.5509352154953507,0.5231307065887966,0.5818612662026501,763164.0,548427.0,695676.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.4,251,0.44354515129422184,0.4899029635457645,42,89,0.5448855516424451,0.507422335554276,0.5883215960109264,740248.0,517989.0,718592.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.5,251,0.44189274853813354,0.4841463414634146,44,88,0.5387715171030045,0.4930191110745524,0.5938842561666492,719236.0,491835.0,739604.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.6,251,0.44018903228388256,0.4794952681388013,45,90,0.5310970618325077,0.4771962655260344,0.5987248930530494,696153.0,466573.0,762687.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.7,251,0.43773258869562626,0.49233954451345757,48,90,0.5206797974885589,0.45795152312796467,0.6033200401684764,668078.0,439258.0,790762.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.8,251,0.4350966100537515,0.48706190632165086,49,91,0.5073102620524105,0.4345994077486222,0.6092393288874368,634011.0,406649.0,824829.0
nnUNetResEnc_Layer1_sourceaware,fold,2,nca,0.9,251,0.42946324043147643,0.4931255728689276,52,94,0.4921798379616547,0.40592319925420195,0.6249862797412993,592177.0,355327.0,866663.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.05,366,0.649830597639019,0.7494251437575052,19,50,0.7973262186745332,0.8993721001252658,0.7160775709716285,8932275.0,3541618.0,999404.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.1,366,0.6555822087440747,0.7502478819668341,20,49,0.811732112849853,0.882851731313507,0.7512165867032213,8768200.0,2903800.0,1163479.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.2,366,0.6595078641665268,0.7536022346086062,22,49,0.8212785686308853,0.8654036241002151,0.78143489661632,8594911.0,2403972.0,1336768.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.3,366,0.6612961807567724,0.7536957307698025,23,49,0.8253188011625594,0.8540846920243798,0.798427466410492,8482495.0,2141507.0,1449184.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.4,366,0.6623332156933,0.7538642469999259,24,50,0.8275528785323065,0.8445198440263726,0.8112542411307786,8387500.0,1951429.0,1544179.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.5,366,0.6627952847060805,0.7572190670220154,25,51,0.8287877063710378,0.835258167324981,0.8224167237134242,8295516.0,1791239.0,1636163.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.6,366,0.6628499354333754,0.7606716919966412,26,51,0.8292580137209391,0.8255766220394356,0.8329723844105013,8199362.0,1644136.0,1732317.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.7,366,0.6627003343512259,0.7609431728492502,29,51,0.8286788761743242,0.8141302190697062,0.8437569687577383,8085680.0,1497269.0,1845999.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.8,366,0.6621099114375355,0.7603969567475195,29,50,0.8262661802420264,0.7983169814489575,0.8562433914488061,7928628.0,1331155.0,2003051.0
nnUNetResEnc_Layer1_sourceaware,fold,2,pca,0.9,366,0.6601187253145315,0.7584404185162382,31,50,0.8185513818691369,0.7689150042001962,0.875038428798126,7636617.0,1090562.0,2295062.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.05,617,0.5944359542933195,0.7060285891858297,65,120,0.7727177214063059,0.8390881777494561,0.7160772235821607,8090166.0,3207730.0,1551450.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.1,617,0.5966130575352275,0.708540298029162,65,122,0.7845465423771742,0.8243745654255469,0.7483895831305031,7948303.0,2672239.0,1693313.0
nnUNetResEnc_Layer1_sourceaware,fold,3,all,0.2,617,0.597760773657836,0.7122549019607843,69,123,0.7919333382816781,0.8089188575856994,0.7756464661191427,7799285.0,2255921.0,1842331.0
